supermarket,week,niveaSales,niveaPrice,niveaRPrice,niveaDisplay,niveaFeature,niveaDisplayFeature,doveSales,dovePrice,doveRPrice,doveDisplay,doveFeature,doveDisplayFeature,axeSales,axePrice,axeRPrice,axeDisplay,axeFeature,axeDisplayFeature,rexonaSales,rexonaPrice,rexonaRPrice,rexonaDisplay,rexonaFeature,rexonaDisplayFeature
OKay,"2021, week 014",69.65000000000001,2.704335965541996,3.286638830897704,.14,.01,.01,50.65,2.775044422507404,2.788221206183322,.01,0,0,101.43,3.688139603667553,3.718231151137281,.01,0,0,105.81,2.729004819960307,2.731884057971015,.03,.11,.01
OKay,"2021, week 015",43.89,3.23859649122807,3.239304563800061,.04,0,.04,59.65,2.780670578373848,2.798173598553346,.02,.04,.02,98.88,3.672947006472492,3.701975875933372,.01,0,0,109.72,2.7260663507109,2.729022362952701,.05,.06,.02
OKay,"2021, week 016",29.22,3.371013004791239,3.371013004791239,0,0,0,52.8,2.816666666666666,2.813854961832061,.02,0,0,176.55,3.780566411781365,3.609830924461412,.37,0,0,110.11,2.772255017709564,2.77261655912024,.05,0,0
OKay,"2021, week 017",35.54,3.344006752954418,3.35255391600454,0,.04,.03,54.77,2.798429797334307,2.798429797334307,.01,.04,.08,161.93,3.756938183165565,3.656758448060074,.3,0,0,119.38,2.784469760428882,2.784469760428882,.02,.04,.05
OKay,"2021, week 018",73.12,3.008561269146608,3.342151898734176,.23,0,0,75.81999999999999,2.742996570825639,2.806205205582799,.11,.19,.14,100.95,3.730916295195641,3.732460732984293,.02,.19,.2,108.47,2.765870747672168,2.765870747672168,.01,.08,.03
OKay,"2021, week 019",69.56,3.02218228867165,3.149734042553186,.29,0,0,52.79,2.782724000757719,2.79310001988467,.08,.01,.01,90.72,3.740939153439154,3.740939153439154,.04,0,0,107.52,2.770963541666667,2.770963541666667,.01,.01,.01
OKay,"2021, week 020",30.8,3.461461038961039,3.454470198675497,0,0,0,52.92,2.801190476190476,2.806176134197484,.02,0,0,90.02,3.712408353699178,3.712694704049845,.01,0,0,104.27,2.767814328186439,2.769744427363567,.02,.04,.04
OKay,"2021, week 021",42.68,3.709934395501406,3.709934395501406,0,.02,.02,65.37,2.786935903319565,2.804618284637135,.02,.02,.01,129.93,3.723605018086662,3.72623911200185,.01,0,0,143.59,2.782248067414165,2.782248067414165,.01,.03,.01
OKay,"2021, week 022",113.52,2.66138125440451,0,.03,.3,.29,56.13,2.778104400498842,2.793335754494279,.01,.12,.05,109.57,3.726896048188373,3.726896048188373,0,0,0,120.09,2.784678158048131,2.785308932169241,.01,.13,.04
OKay,"2021, week 023",42.8,3.486915887850468,3.707172701949861,.11,.1,.09,52.68,2.774221716021261,2.790414110429448,.02,0,0,104.99,3.7428707495952,3.745220377790499,.01,0,0,104.55,2.772089909134385,2.77699767261443,.02,0,0
OKay,"2021, week 024",35.37,3.591263782866837,3.645166073546857,.01,.01,.01,52.59,2.787868416048678,2.800538565108675,.01,0,0,118.41,3.73356135461532,3.736688394142047,.02,.02,.09,120.03,2.783687411480464,2.784922227797291,0,.06,.25
OKay,"2021, week 025",51.52,3.722864906832298,3.743836155966916,0,.03,.03,73.73999999999999,2.753376729048007,2.787843192754033,.02,0,0,150.94,3.716808003180072,3.722935963217166,.01,0,0,144.85,2.787932343803935,2.789622706818969,.04,0,0
OKay,"2021, week 026",40.93,3.731663816271684,3.731663816271684,.01,.04,.02,163.82,2.291069466487608,2.583603603603607,.31,0,.01,124.4,3.724646302250804,3.724646302250804,0,0,0,112.26,2.790842686620346,2.790842686620346,.03,.02,.02
OKay,"2021, week 027",37.03,3.696381312449365,3.699158294868315,0,0,0,120.56,2.296134704711347,2.333966244725731,.28,.02,.01,117.01,3.71557131869071,3.71557131869071,0,0,0,105.65,2.767960246095599,2.767960246095599,.01,.02,.04
OKay,"2021, week 028",40.62,3.723978335795175,3.723978335795175,0,.02,.07,74.8,2.551510695187166,2.776849099492919,0,0,0,131.47,3.749402905605842,3.749402905605842,0,.02,.02,118.9,2.763784693019343,2.763784693019343,.01,0,0
OKay,"2021, week 029",36.91,3.694662693037118,3.694662693037118,.02,.02,.03,48.8,2.808852459016394,2.849292149292149,0,.01,.05,117.09,3.717029635323255,3.717029635323255,.02,0,0,108.01,2.754661605406907,2.754661605406907,.01,.02,.05
OKay,"2021, week 030",34.46,3.758908879860708,3.758908879860708,0,0,0,45.31,2.777885676451115,2.800113688040018,0,0,0,122.52,3.719515181194907,3.719515181194907,0,.02,.03,664.1,2.170124981177533,3.397265624999906,.31,.23,.38
